datetime,temp_mean,temp_min,temp_max
2022-08-27,26.791319444444444,21.05,34.1
2022-08-28,27.952777777777776,23.6,37.35
2022-08-29,28.704513888888886,25.5,37.05
2022-08-30,28.408333333333335,25.0,36.85
2022-08-31,28.10211267605634,25.0,35.1
2022-09-01,27.62951388888889,24.25,34.3
2022-09-02,26.681746031746034,22.25,33.7
2022-09-03,26.57406015037594,21.8,33.3
2022-09-04,26.412847222222222,20.85,32.7
2022-09-05,26.364335664335663,21.75,33.45
2022-09-06,25.521527777777777,20.05,32.0
2022-09-07,25.677430555555556,20.25,32.35
2022-09-08,25.465625000000003,17.45,33.65
2022-09-09,26.190624999999997,19.55,33.15
2022-09-10,24.3625,18.1,32.9
2022-09-11,25.238541666666666,18.85,33.7
2022-09-12,24.269444444444446,16.35,32.65
2022-09-13,25.492708333333333,17.4,33.1
2022-09-14,25.29201388888889,19.75,31.15
2022-09-15,23.900694444444444,17.0,31.5
2022-09-16,24.154861111111114,17.0,31.45
2022-09-17,25.225,19.6,32.05
2022-09-18,24.631597222222222,19.65,30.85
2022-09-19,24.288194444444443,20.35,30.05
2022-09-20,23.521678321678323,17.8,29.65
2022-09-21,23.48888888888889,18.8,29.1
2022-09-22,23.976041666666667,18.35,30.7
2022-09-23,25.125,17.75,33.45
2022-09-24,25.711111111111112,17.7,35.0
2022-09-25,25.908333333333335,17.3,35.65
2022-09-26,25.462847222222223,17.35,34.7
2022-09-27,25.355208333333334,15.9,34.85
2022-09-28,24.55972222222222,16.8,32.9
2022-09-29,20.756818181818183,16.6,30.4
2022-09-30,22.394426406926407,17.1,31.416666666666668
2022-10-01,24.032034632034634,17.6,32.43333333333334
2022-10-02,25.669642857142858,18.1,33.45
2022-10-03,23.9625,15.9,33.0
2022-10-04,25.088541666666668,20.05,32.65
2022-10-05,23.872569444444444,17.95,31.35
2022-10-06,19.3,19.3,19.3
2022-10-07,22.96118881118881,19.55,26.95
2022-10-08,22.02857142857143,17.3,27.8
2022-10-09,20.827622377622376,14.85,27.2
2022-10-10,19.141964285714288,13.5,28.45
2022-10-11,21.17638888888889,13.85,29.15
2022-10-12,21.624652777777776,15.95,28.65
2022-10-13,21.020833333333332,16.05,26.7
2022-10-14,20.9625,15.35,27.35
2022-10-15,22.22326388888889,14.7,29.4
2022-10-16,23.960416666666667,16.95,32.1
2022-10-17,21.87152777777778,16.1,28.65
2022-10-18,21.20034965034965,15.65,28.0
2022-10-19,20.711111111111112,14.0,27.65
2022-10-20,21.07326388888889,13.25,27.65
2022-10-21,20.970833333333335,17.95,26.15
2022-10-22,20.98923611111111,16.3,27.4
2022-10-23,19.61215277777778,14.35,26.9
2022-10-24,19.810069444444444,13.55,26.2
2022-10-25,22.195486111111112,15.1,30.5
2022-10-26,22.43576388888889,16.4,27.75
2022-10-27,21.265625,16.15,27.8
2022-10-28,20.83090277777778,14.5,28.5
2022-10-29,21.84548611111111,16.6,29.25
2022-10-30,21.311805555555555,16.55,26.8
2022-10-31,19.705208333333335,14.0,26.25
2022-11-01,18.525,13.4,24.85
2022-11-02,17.372916666666665,11.3,24.8
2022-11-03,17.74652777777778,10.5,25.4
2022-11-04,17.728472222222223,10.65,26.5
2022-11-05,18.236805555555556,11.25,25.5
2022-11-06,19.64568345323741,13.4,25.7
2022-11-07,17.9260162601626,12.3,24.45
2022-11-08,17.290972222222223,12.15,21.55
2022-11-09,17.534374999999997,11.55,22.8
2022-11-10,16.26993006993007,8.95,23.7
2022-11-11,16.672916666666666,8.9,24.95
2022-11-12,17.521527777777777,10.0,26.65
2022-11-13,18.56423611111111,10.85,27.05
2022-11-14,19.365625,13.9,26.0
2022-11-15,17.719097222222224,12.55,21.95
2022-11-16,15.880208333333334,10.65,21.5
2022-11-17,15.293750000000001,9.4,21.85
2022-11-18,15.542753623188407,7.7,24.8
